0.179687450457,1
0.279687450457,1
0.39513656511,1
0.581096986317,1
0.681096986317,1
0.868573833052,1
0.968573833052,1
1.13519035247,1
1.23519035247,1
1.33519035247,1
1.43519035247,1
1.53519035247,1
1.63519035247,1
1.73519035247,1
1.83519035247,1
1.93519035247,1
2.092874560922,1
2.192874560922,1
2.292874560922,1
2.392874560922,1
2.492874560922,1
2.592874560922,1
2.692874560922,1
2.792874560922,1
2.892874560922,1
2.992874560922,1
3.09643731495,1
3.277274241377,1
3.377274241377,1
3.477274241377,1
3.577274241377,1
3.677274241377,1
3.777274241377,1
3.877274241377,1
3.977274241377,1
4.077274241377,1
4.177274241377,1
4.277274241377,1
4.377274241377,1
4.554933220384,1
4.939455407298,1
5.039455407298,1
5.164150280272,1
5.325550487761,1
5.425550487761,1
5.525550487761,1
5.625550487761,1
5.726187367413,1
5.826187367413,1
5.926187367413,1
6.026187367413,1
6.126187367413,1
6.226187367413,1
6.326187367413,1
6.437671367214,1
6.579807835223,1
6.679807835223,1
6.779807835223,1
6.879807835223,1
6.979807835223,1
7.079807835223,1
7.179807835223,1
7.279807835223,1
7.379807835223,1
7.479807835223,1
7.579807835223,1
7.679807835223,1
7.779807835223,1
7.879807835223,1
7.979807835223,1
8.079807835223,1
8.179807835223,1
8.279807835223,1
8.379807835223,1
8.479807835223,1
8.579807835223,1
8.679807835223,1
8.779807835223,1
8.879807835223,1
8.979807835223,1
9.079807835223,1
9.179807835223,1
9.279807835223,1
9.379807835223,1
9.479807835223,1
9.579807835223,1
9.679807835223,1
9.779807835223,1
9.879807835223,1
9.979807835223,1
10.079807835223,1
10.179807835223,1
10.279807835223,1
10.379807835223,1
10.479807835223,1
10.579807835223,1
10.679807835223,1
10.779807835223,1
10.879807835223,1
10.979807835223,1
11.079807835223,1
11.179807835223,1
11.279807835223,1
11.379807835223,1
11.479807835223,1
11.579807835223,1
11.679807835223,1
11.779807835223,1
11.879807835223,1
11.979807835223,1
12.079807835223,1
12.179807835223,1
12.279807835223,1
12.379807835223,1
12.479807835223,1
12.579807835223,1
12.679807835223,1
12.779807835223,1
12.879807835223,1
12.979807835223,1
13.079807835223,1
13.179807835223,1
13.279807835223,1
13.379807835223,1
13.479807835223,1
13.579807835223,1
13.679807835223,1
13.779807835223,1
13.879807835223,1
13.979807835223,1
14.079807835223,1
14.179807835223,1
14.279807835223,1
14.379807835223,1
14.479807835223,1
14.579807835223,1
14.679807835223,1
14.779807835223,1
14.879807835223,1
14.979807835223,1
